rulec 0.10.0, Kani Rust Verifier 0.68.0 (standalone) CBMC 6.11.0 

allocate                   1s  Complete - 2 successfully verified harnesses, 0 failures, 2 total.
apply_order                1s  Complete - 2 successfully verified harnesses, 0 failures, 2 total.
baggage_fee                2s  Complete - 2 successfully verified harnesses, 0 failures, 2 total.
cancel_verdict             1s  Complete - 2 successfully verified harnesses, 0 failures, 2 total.
claude_usage_fee          19s  Complete - 4 successfully verified harnesses, 0 failures, 4 total.
compensation               2s  Complete - 3 successfully verified harnesses, 0 failures, 3 total.
coupon_discount            3s  Complete - 3 successfully verified harnesses, 0 failures, 3 total.
coupon_stack               1s  Complete - 2 successfully verified harnesses, 0 failures, 2 total.
coupon_step                2s  Complete - 3 successfully verified harnesses, 0 failures, 3 total.
ec261                      4s  Complete - 4 successfully verified harnesses, 0 failures, 4 total.
freight                    2s  Complete - 1 successfully verified harnesses, 0 failures, 1 total.
income_tax                 2s  Complete - 2 successfully verified harnesses, 0 failures, 2 total.
kenpo_premium             30s  Complete - 3 successfully verified harnesses, 0 failures, 3 total.
member_perk                4s  Complete - 4 successfully verified harnesses, 0 failures, 4 total.
office_standard            2s  Complete - 3 successfully verified harnesses, 0 failures, 3 total.
part_time_allowance        2s  Complete - 3 successfully verified harnesses, 0 failures, 3 total.
payment_fee                2s  Complete - 2 successfully verified harnesses, 0 failures, 2 total.
pension_premium           10s  Complete - 2 successfully verified harnesses, 0 failures, 2 total.
period                     1s  Complete - 2 successfully verified harnesses, 0 failures, 2 total.
points                     1s  Complete - 2 successfully verified harnesses, 0 failures, 2 total.
rank                       1s  Complete - 2 successfully verified harnesses, 0 failures, 2 total.
receipt_stamp              3s  Complete - 2 successfully verified harnesses, 0 failures, 2 total.
retirement_allowance       2s  Complete - 2 successfully verified harnesses, 0 failures, 2 total.
shipping_fee               4s  Complete - 3 successfully verified harnesses, 0 failures, 3 total.
shipping_proviso           2s  Complete - 2 successfully verified harnesses, 0 failures, 2 total.
stamp_duty                 4s  Complete - 2 successfully verified harnesses, 0 failures, 2 total.
stamp_duty_split           4s  Complete - 1 successfully verified harnesses, 0 failures, 1 total.
storage                    5s  Complete - 4 successfully verified harnesses, 0 failures, 4 total.
supplier_match            27s  Complete - 1 successfully verified harnesses, 0 failures, 1 total.
yupack_fee                11s  Complete - 3 successfully verified harnesses, 0 failures, 3 total.

総計 155s
