照合 90 件 / 一致 18 (40.909%)
相手: article@hf.co/mmnga/Llama-3.1-Swallow-8B-Instruct-v0.5-gguf:Q4_K_M/nothink/k3/all-agree
相手が答えられなかった 46 件は、一致率の分母から外しています（§10.3）

影響 26 件 (59.091%)  金額 付与点 +16,970  金額 請求額 +1,008,990
  答えられない: samples disagree: {"付与点":0,"請求額":-99000} / {"付与点":0,"請求額":0} / {"付与点":0,"請求額":0}     1 件
    例: 会員区分=一般, 値引=99999, 商品合計=0, 重量=20000
  答えられない: samples disagree: {"付与点":0,"請求額":0} / {"付与点":0,"請求額":-1000} / {"付与点":0,"請求額":0}     1 件
    例: 会員区分=一般, 値引=100000, 商品合計=0, 重量=2
  答えられない: samples disagree: {"付与点":0,"請求額":0} / {"付与点":0,"請求額":-79999} / {"付与点":0,"請求額":0}     1 件
    例: 会員区分=一般, 値引=99999, 商品合計=1, 重量=1
  答えられない: samples disagree: {"付与点":0,"請求額":0} / {"付与点":0,"請求額":0} / {"付与点":0,"請求額":-79999}     1 件
    例: 会員区分=一般, 値引=99999, 商品合計=0, 重量=19999
  答えられない: samples disagree: {"付与点":0,"請求額":0} / {"付与点":0,"請求額":0} / {"付与点":0,"請求額":300}     2 件
    例: 会員区分=一般, 値引=0, 商品合計=0, 重量=10000
  答えられない: samples disagree: {"付与点":0,"請求額":0} / {"付与点":0,"請求額":0} / {"付与点":2,"請求額":200}     1 件
    例: 会員区分=一般, 値引=100000, 商品合計=0, 重量=19999
  答えられない: samples disagree: {"付与点":0,"請求額":0} / {"付与点":0,"請求額":3000} / {"付与点":0,"請求額":0}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=999999, 重量=10001
  答えられない: samples disagree: {"付与点":0,"請求額":0} / {"付与点":0,"請求額":300} / {"付与点":0,"請求額":0}     1 件
    例: 会員区分=一般, 値引=100000, 商品合計=0, 重量=10000
  答えられない: samples disagree: {"付与点":0,"請求額":0} / {"付与点":0,"請求額":300} / {"付与点":0,"請求額":300}     1 件
    例: 会員区分=一般, 値引=1, 商品合計=0, 重量=10000
  答えられない: samples disagree: {"付与点":0,"請求額":0} / {"付与点":0,"請求額":800} / {"付与点":0,"請求額":0}     1 件
    例: 会員区分=一般, 値引=1, 商品合計=0, 重量=1999
  答えられない: samples disagree: {"付与点":0,"請求額":0} / {"付与点":10,"請求額":1000} / {"付与点":0,"請求額":0}     2 件
    例: 会員区分=一般, 値引=0, 商品合計=1, 重量=2000
  答えられない: samples disagree: {"付与点":0,"請求額":0} / {"付与点":150,"請求額":0} / {"付与点":0,"請求額":0}     1 件
    例: 会員区分=上位, 値引=0, 商品合計=0, 重量=10000
  答えられない: samples disagree: {"付与点":0,"請求額":0} / {"付与点":20,"請求額":2000} / {"付与点":20,"請求額":2000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1, 重量=20000
  答えられない: samples disagree: {"付与点":0,"請求額":300} / {"付与点":0,"請求額":0} / {"付与点":0,"請求額":0}     1 件
    例: 会員区分=上位, 値引=0, 商品合計=0, 重量=19999
  答えられない: samples disagree: {"付与点":0,"請求額":300} / {"付与点":0,"請求額":800} / {"付与点":0,"請求額":300}     2 件
    例: 会員区分=一般, 値引=0, 商品合計=1000000, 重量=2001
  答えられない: samples disagree: {"付与点":1,"請求額":100} / {"付与点":0,"請求額":0} / {"付与点":0,"請求額":0}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1, 重量=19999
