照合 90 件 / 一致 33 (62.264%)
相手: article@qwen3.6:35b-a3b/nothink/k3/all-agree
相手が答えられなかった 37 件は、一致率の分母から外しています（§10.3）

影響 20 件 (37.736%)  金額 付与点 -6,000  金額 請求額 +8,830
  答えられない: samples disagree: {"付与点":0,"請求額":0} / {"付与点":0,"請求額":0} / {"付与点":0,"請求額":300}     1 件
    例: 会員区分=一般, 値引=1, 商品合計=0, 重量=9999
  答えられない: samples disagree: {"付与点":0,"請求額":0} / {"付与点":0,"請求額":300} / {"付与点":0,"請求額":800}     1 件
    例: 会員区分=一般, 値引=100000, 商品合計=0, 重量=2001
  答えられない: samples disagree: {"付与点":0,"請求額":0} / {"付与点":0,"請求額":800} / {"付与点":0,"請求額":0}     2 件
    例: 会員区分=一般, 値引=100000, 商品合計=0, 重量=1999
  答えられない: samples disagree: {"付与点":0,"請求額":1090} / {"付与点":0,"請求額":1000} / {"付与点":1,"請求額":3800}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1, 重量=2000
  答えられない: samples disagree: {"付与点":0,"請求額":10} / {"付与点":75,"請求額":5000} / {"付与点":0,"請求額":0}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1, 重量=20000
  答えられない: samples disagree: {"付与点":0,"請求額":300} / {"付与点":0,"請求額":0} / {"付与点":0,"請求額":0}     1 件
    例: 会員区分=上位, 値引=0, 商品合計=0, 重量=2
  答えられない: samples disagree: {"付与点":0,"請求額":300} / {"付与点":0,"請求額":300} / {"付与点":0,"請求額":0}     1 件
    例: 会員区分=上位, 値引=0, 商品合計=0, 重量=10000
  答えられない: samples disagree: {"付与点":0,"請求額":300} / {"付与点":0,"請求額":300} / {"付与点":0,"請求額":800}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=50, 重量=1
  答えられない: samples disagree: {"付与点":0,"請求額":300} / {"付与点":0,"請求額":300} / {"付与点":2,"請求額":300}     1 件
    例: 会員区分=上位, 値引=0, 商品合計=1, 重量=1
  答えられない: samples disagree: {"付与点":0,"請求額":800} / {"付与点":0,"請求額":0} / {"付与点":0,"請求額":0}     2 件
    例: 会員区分=一般, 値引=1, 商品合計=0, 重量=1999
  答えられない: samples disagree: {"付与点":0,"請求額":800} / {"付与点":0,"請求額":0} / {"付与点":0,"請求額":800}     1 件
    例: 会員区分=一般, 値引=99999, 商品合計=0, 重量=2001
  答えられない: samples disagree: {"付与点":0,"請求額":800} / {"付与点":0,"請求額":1100} / {"付与点":0,"請求額":1600}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1, 重量=2
  答えられない: samples disagree: {"付与点":0,"請求額":800} / {"付与点":0,"請求額":300} / {"付与点":0,"請求額":800}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=0, 重量=2000
  答えられない: samples disagree: {"付与点":0,"請求額":800} / {"付与点":0,"請求額":800} / {"付与点":0,"請求額":0}     1 件
    例: 会員区分=一般, 値引=1, 商品合計=0, 重量=2000
