照合 90 件 / 一致 9 (26.471%)
相手: doc@hf.co/mmnga/Llama-3.1-Swallow-8B-Instruct-v0.5-gguf:Q4_K_M/nothink/k3/all-agree
相手が答えられなかった 56 件は、一致率の分母から外しています（§10.3）

影響 25 件 (73.529%)  金額 付与点 +10,969  金額 請求額 +310,201
  答えられない: samples disagree: {"付与点":0,"請求額":-100000} / {"付与点":0,"請求額":-100000} / {"付与点":0,"請求額":-800}     1 件
    例: 会員区分=一般, 値引=100000, 商品合計=0, 重量=2000
  答えられない: samples disagree: {"付与点":0,"請求額":-100000} / {"付与点":0,"請求額":-99000} / {"付与点":0,"請求額":-1000}     1 件
    例: 会員区分=一般, 値引=100000, 商品合計=0, 重量=1999
  答えられない: samples disagree: {"付与点":0,"請求額":-10000} / {"付与点":0,"請求額":-10000} / {"付与点":0,"請求額":-100000}     1 件
    例: 会員区分=一般, 値引=100000, 商品合計=0, 重量=10000
  答えられない: samples disagree: {"付与点":0,"請求額":-1} / {"付与点":0,"請求額":0} / {"付与点":0,"請求額":-1}     1 件
    例: 会員区分=一般, 値引=1, 商品合計=0, 重量=10000
  答えられない: samples disagree: {"付与点":0,"請求額":-1} / {"付与点":0,"請求額":0} / {"付与点":0,"請求額":0}     2 件
    例: 会員区分=一般, 値引=1, 商品合計=0, 重量=2
  答えられない: samples disagree: {"付与点":0,"請求額":-39999} / {"付与点":-3,"請求額":-39999} / {"付与点":-3998,"請求額":-39981}     1 件
    例: 会員区分=一般, 値引=99999, 商品合計=0, 重量=19999
  答えられない: samples disagree: {"付与点":0,"請求額":-39999} / {"付与点":0,"請求額":-79999} / {"付与点":0,"請求額":-99999}     1 件
    例: 会員区分=一般, 値引=99999, 商品合計=0, 重量=2000
  答えられない: samples disagree: {"付与点":0,"請求額":-39999} / {"付与点":0,"請求額":-99999} / {"付与点":0,"請求額":-39999}     1 件
    例: 会員区分=一般, 値引=99999, 商品合計=0, 重量=10000
  答えられない: samples disagree: {"付与点":0,"請求額":-39999} / {"付与点":0,"請求額":0} / {"付与点":-399,"請求額":-39999}     1 件
    例: 会員区分=一般, 値引=99999, 商品合計=0, 重量=2001
  答えられない: samples disagree: {"付与点":0,"請求額":-39999} / {"付与点":0,"請求額":0} / {"付与点":0,"請求額":-99999}     1 件
    例: 会員区分=上位, 値引=99999, 商品合計=0, 重量=1
  答えられない: samples disagree: {"付与点":0,"請求額":-4000} / {"付与点":0,"請求額":-39999} / {"付与点":0,"請求額":-79999}     1 件
    例: 会員区分=一般, 値引=99999, 商品合計=0, 重量=1999
  答えられない: samples disagree: {"付与点":0,"請求額":-79999} / {"付与点":0,"請求額":-39999} / {"付与点":0,"請求額":-79999}     1 件
    例: 会員区分=一般, 値引=99999, 商品合計=0, 重量=9999
  答えられない: samples disagree: {"付与点":0,"請求額":-79999} / {"付与点":0,"請求額":-79999} / {"付与点":0,"請求額":-39999}     1 件
    例: 会員区分=一般, 値引=99999, 商品合計=0, 重量=10001
  答えられない: samples disagree: {"付与点":0,"請求額":-800} / {"付与点":-1,"請求額":-100000} / {"付与点":0,"請求額":-100000}     1 件
    例: 会員区分=一般, 値引=100000, 商品合計=0, 重量=20000
  答えられない: samples disagree: {"付与点":0,"請求額":-800} / {"付与点":0,"請求額":-800} / {"付与点":0,"請求額":0}     1 件
    例: 会員区分=一般, 値引=1, 商品合計=0, 重量=2001
  答えられない: samples disagree: {"付与点":0,"請求額":-9000} / {"付与点":0,"請求額":-10000} / {"付与点":0,"請求額":-9900}     1 件
    例: 会員区分=一般, 値引=100000, 商品合計=0, 重量=10001
  答えられない: samples disagree: {"付与点":0,"請求額":-99998} / {"付与点":0,"請求額":-99998} / {"付与点":1,"請求額":-99998}     1 件
    例: 会員区分=一般, 値引=99999, 商品合計=1, 重量=1
  答えられない: samples disagree: {"付与点":0,"請求額":-99999} / {"付与点":0,"請求額":-79999} / {"付与点":0,"請求額":-39999}     1 件
    例: 会員区分=一般, 値引=99999, 商品合計=0, 重量=2
  答えられない: samples disagree: {"付与点":0,"請求額":0} / {"付与点":-1,"請求額":-100000} / {"付与点":0,"請求額":-100000}     1 件
    例: 会員区分=上位, 値引=100000, 商品合計=0, 重量=1
  答えられない: samples disagree: {"付与点":0,"請求額":0} / {"付与点":-1,"請求額":-800} / {"付与点":0,"請求額":-801}     1 件
    例: 会員区分=一般, 値引=1, 商品合計=0, 重量=10001
  答えられない: samples disagree: {"付与点":0,"請求額":0} / {"付与点":0,"請求額":-1} / {"付与点":0,"請求額":-1}     1 件
    例: 会員区分=一般, 値引=1, 商品合計=0, 重量=9999
  答えられない: samples disagree: {"付与点":0,"請求額":0} / {"付与点":0,"請求額":-99999} / {"付与点":0,"請求額":0}     1 件
    例: 会員区分=一般, 値引=99999, 商品合計=0, 重量=20000
  答えられない: samples disagree: {"付与点":0,"請求額":0} / {"付与点":0,"請求額":0} / {"付与点":0,"請求額":800}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=0, 重量=1
  答えられない: samples disagree: {"付与点":0,"請求額":0} / {"付与点":150,"請求額":0} / {"付与点":0,"請求額":0}     1 件
    例: 会員区分=上位, 値引=0, 商品合計=0, 重量=10000
  答えられない: samples disagree: {"付与点":0,"請求額":0} / {"付与点":2,"請求額":0} / {"付与点":0,"請求額":0}     1 件
    例: 会員区分=上位, 値引=0, 商品合計=0, 重量=2000
  答えられない: samples disagree: {"付与点":0,"請求額":0} / {"付与点":20,"請求額":0} / {"付与点":20,"請求額":0}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1, 重量=20000
  答えられない: samples disagree: {"付与点":0,"請求額":0} / {"付与点":20,"請求額":2300} / {"付与点":1,"請求額":0}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1, 重量=2001
  答えられない: samples disagree: {"付与点":0,"請求額":0} / {"付与点":300,"請求額":20000} / {"付与点":300,"請求額":0}     1 件
    例: 会員区分=上位, 値引=0, 商品合計=0, 重量=20000
  答えられない: samples disagree: {"付与点":1,"請求額":-99999} / {"付与点":0,"請求額":-99999} / {"付与点":0,"請求額":-99999}     1 件
    例: 会員区分=一般, 値引=100000, 商品合計=1, 重量=1
  答えられない: samples disagree: {"付与点":1,"請求額":0} / {"付与点":0,"請求額":0} / {"付与点":0,"請求額":0}     1 件
    例: 会員区分=上位, 値引=1, 商品合計=0, 重量=1
  答えられない: samples disagree: {"付与点":1,"請求額":0} / {"付与点":0,"請求額":1} / {"付与点":1,"請求額":0}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1, 重量=10001
  答えられない: samples disagree: {"付与点":10,"請求額":0} / {"付与点":1,"請求額":0} / {"付与点":1,"請求額":0}     1 件
    例: 会員区分=一般, 値引=1, 商品合計=1, 重量=1
  答えられない: samples disagree: {"付与点":10,"請求額":0} / {"付与点":10,"請求額":1} / {"付与点":1,"請求額":0}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1, 重量=2000
  答えられない: samples disagree: {"付与点":10,"請求額":0} / {"付与点":500,"請求額":1000} / {"付与点":250,"請求額":1000}     1 件
    例: 会員区分=一般, 値引=99999, 商品合計=1000000, 重量=1
  答えられない: samples disagree: {"付与点":10,"請求額":1} / {"付与点":0,"請求額":0} / {"付与点":1,"請求額":0}     1 件
    例: 会員区分=上位, 値引=0, 商品合計=1, 重量=1
  答えられない: samples disagree: {"付与点":10,"請求額":1} / {"付与点":1,"請求額":0} / {"付与点":10,"請求額":1}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1, 重量=19999
  答えられない: samples disagree: {"付与点":10000,"請求額":1000000} / {"付与点":300,"請求額":1000000} / {"付与点":10000,"請求額":1000000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1000000, 重量=2000
  答えられない: samples disagree: {"付与点":10000,"請求額":1000000} / {"付与点":750,"請求額":1000000} / {"付与点":60000,"請求額":1000000}     1 件
    例: 会員区分=上位, 値引=0, 商品合計=1000000, 重量=1
  答えられない: samples disagree: {"付与点":10000,"請求額":1000000} / {"付与点":9999,"請求額":1000000} / {"付与点":9999,"請求額":1000000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=999999, 重量=1999
  答えられない: samples disagree: {"付与点":10000,"請求額":900000} / {"付与点":3000,"請求額":900000} / {"付与点":10000,"請求額":-8000}     1 件
    例: 会員区分=一般, 値引=100000, 商品合計=1000000, 重量=1
