照合 90 件 / 一致 12 (40.000%)
相手: doc@qwen3.6:35b-a3b/nothink/k3/all-agree
相手が答えられなかった 60 件は、一致率の分母から外しています（§10.3）

影響 18 件 (60.000%)  金額 付与点 -3,002  金額 請求額 +902,200
  答えられない: samples disagree: {"付与点":0,"請求額":0} / {"付与点":0,"請求額":0} / {"付与点":150,"請求額":0}     1 件
    例: 会員区分=一般, 値引=1, 商品合計=0, 重量=10001
  答えられない: samples disagree: {"付与点":0,"請求額":0} / {"付与点":0,"請求額":300} / {"付与点":0,"請求額":300}     1 件
    例: 会員区分=上位, 値引=0, 商品合計=0, 重量=1
  答えられない: samples disagree: {"付与点":0,"請求額":0} / {"付与点":0,"請求額":800} / {"付与点":0,"請求額":0}     5 件
    例: 会員区分=一般, 値引=100000, 商品合計=0, 重量=2001
  答えられない: samples disagree: {"付与点":0,"請求額":0} / {"付与点":0,"請求額":800} / {"付与点":0,"請求額":800}     1 件
    例: 会員区分=一般, 値引=99999, 商品合計=0, 重量=10000
  答えられない: samples disagree: {"付与点":0,"請求額":1000} / {"付与点":0,"請求額":0} / {"付与点":0,"請求額":0}     1 件
    例: 会員区分=一般, 値引=100000, 商品合計=0, 重量=9999
  答えられない: samples disagree: {"付与点":0,"請求額":1000} / {"付与点":0,"請求額":800} / {"付与点":0,"請求額":800}     2 件
    例: 会員区分=一般, 値引=99999, 商品合計=0, 重量=2001
  答えられない: samples disagree: {"付与点":0,"請求額":300} / {"付与点":0,"請求額":0} / {"付与点":0,"請求額":300}     1 件
    例: 会員区分=一般, 値引=1, 商品合計=0, 重量=2001
  答えられない: samples disagree: {"付与点":0,"請求額":300} / {"付与点":15,"請求額":300} / {"付与点":0,"請求額":300}     1 件
    例: 会員区分=上位, 値引=0, 商品合計=0, 重量=10001
  答えられない: samples disagree: {"付与点":0,"請求額":300} / {"付与点":30,"請求額":1800} / {"付与点":0,"請求額":0}     1 件
    例: 会員区分=上位, 値引=0, 商品合計=0, 重量=2000
  答えられない: samples disagree: {"付与点":0,"請求額":500} / {"付与点":0,"請求額":800} / {"付与点":0,"請求額":0}     1 件
    例: 会員区分=一般, 値引=1, 商品合計=0, 重量=10000
  答えられない: samples disagree: {"付与点":0,"請求額":800} / {"付与点":0,"請求額":0} / {"付与点":0,"請求額":0}     1 件
    例: 会員区分=一般, 値引=99999, 商品合計=0, 重量=2
  答えられない: samples disagree: {"付与点":0,"請求額":800} / {"付与点":0,"請求額":0} / {"付与点":0,"請求額":1000}     1 件
    例: 会員区分=一般, 値引=99999, 商品合計=0, 重量=2000
  答えられない: samples disagree: {"付与点":0,"請求額":800} / {"付与点":0,"請求額":0} / {"付与点":0,"請求額":800}     5 件
    例: 会員区分=一般, 値引=0, 商品合計=0, 重量=10000
  答えられない: samples disagree: {"付与点":0,"請求額":800} / {"付与点":0,"請求額":0} / {"付与点":150,"請求額":0}     1 件
    例: 会員区分=一般, 値引=1, 商品合計=0, 重量=20000
  答えられない: samples disagree: {"付与点":0,"請求額":800} / {"付与点":0,"請求額":800} / {"付与点":0,"請求額":0}     1 件
    例: 会員区分=一般, 値引=99999, 商品合計=0, 重量=10001
  答えられない: samples disagree: {"付与点":1,"請求額":0} / {"付与点":1,"請求額":0} / {"付与点":1,"請求額":800}     1 件
    例: 会員区分=一般, 値引=1, 商品合計=1, 重量=1
  答えられない: samples disagree: {"付与点":1,"請求額":800} / {"付与点":10,"請求額":801} / {"付与点":1,"請求額":1800}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1, 重量=2
  答えられない: samples disagree: {"付与点":10,"請求額":2000} / {"付与点":10,"請求額":1000} / {"付与点":2,"請求額":3010}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1, 重量=9999
  答えられない: samples disagree: {"付与点":10,"請求額":500} / {"付与点":1,"請求額":800} / {"付与点":10,"請求額":800}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1, 重量=10000
  答えられない: samples disagree: {"付与点":10,"請求額":801} / {"付与点":1,"請求額":801} / {"付与点":1,"請求額":800}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1, 重量=2000
  答えられない: samples disagree: {"付与点":14999,"請求額":1000000} / {"付与点":14999,"請求額":1000000} / {"付与点":14999,"請求額":1002000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=999999, 重量=9999
  答えられない: samples disagree: {"付与点":14999,"請求額":998799} / {"付与点":14999,"請求額":999990} / {"付与点":14999,"請求額":999890}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=999999, 重量=2001
  答えられない: samples disagree: {"付与点":14999,"請求額":999300} / {"付与点":15000,"請求額":1000000} / {"付与点":15000,"請求額":1000000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=999999, 重量=20000
  答えられない: samples disagree: {"付与点":14999,"請求額":999600} / {"付与点":14999,"請求額":999600} / {"付与点":16500,"請求額":1000000}     1 件
    例: 会員区分=上位, 値引=0, 商品合計=999999, 重量=1
  答えられない: samples disagree: {"付与点":14999,"請求額":999690} / {"付与点":15000,"請求額":999300} / {"付与点":14999,"請求額":999700}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=999999, 重量=10000
  答えられない: samples disagree: {"付与点":14999,"請求額":999980} / {"付与点":14999,"請求額":999699} / {"付与点":9999,"請求額":999600}     1 件
    例: 会員区分=一般, 値引=1, 商品合計=999999, 重量=1
  答えられない: samples disagree: {"付与点":15,"請求額":3020} / {"付与点":300,"請求額":5000} / {"付与点":30,"請求額":2100}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1, 重量=19999
  答えられない: samples disagree: {"付与点":15,"請求額":800} / {"付与点":150,"請求額":9200} / {"付与点":1,"請求額":800}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1, 重量=10001
  答えられない: samples disagree: {"付与点":15000,"請求額":1000000} / {"付与点":1500,"請求額":100300} / {"付与点":150000,"請求額":100300}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1000000, 重量=2000
  答えられない: samples disagree: {"付与点":15000,"請求額":1000000} / {"付与点":15000,"請求額":1000000} / {"付与点":15000,"請求額":1000300}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1000000, 重量=19999
  答えられない: samples disagree: {"付与点":15000,"請求額":100300} / {"付与点":15000,"請求額":1000000} / {"付与点":15000,"請求額":100300}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1000000, 重量=1999
  答えられない: samples disagree: {"付与点":15000,"請求額":100300} / {"付与点":15000,"請求額":1005000} / {"付与点":15000,"請求額":100500}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1000000, 重量=9999
  答えられない: samples disagree: {"付与点":15000,"請求額":100400} / {"付与点":10000,"請求額":1000000} / {"付与点":15000,"請求額":1000000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1000000, 重量=2
  答えられない: samples disagree: {"付与点":15000,"請求額":100400} / {"付与点":16500,"請求額":100500} / {"付与点":15000,"請求額":100400}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1000000, 重量=2001
  答えられない: samples disagree: {"付与点":15000,"請求額":902400} / {"付与点":15000,"請求額":902000} / {"付与点":15000,"請求額":908400}     1 件
    例: 会員区分=一般, 値引=99999, 商品合計=1000000, 重量=1
  答えられない: samples disagree: {"付与点":15000,"請求額":904000} / {"付与点":150000,"請求額":904000} / {"付与点":15000,"請求額":1008000}     1 件
    例: 会員区分=一般, 値引=100000, 商品合計=1000000, 重量=1
  答えられない: samples disagree: {"付与点":15000,"請求額":998000} / {"付与点":150000,"請求額":999900} / {"付与点":15000,"請求額":999900}     1 件
    例: 会員区分=一般, 値引=1, 商品合計=1000000, 重量=1
  答えられない: samples disagree: {"付与点":2,"請求額":800} / {"付与点":2,"請求額":10} / {"付与点":15,"請求額":800}     1 件
    例: 会員区分=上位, 値引=0, 商品合計=1, 重量=1
  答えられない: samples disagree: {"付与点":2250,"請求額":100300} / {"付与点":15000,"請求額":100300} / {"付与点":1500,"請求額":987000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1000000, 重量=10000
  答えられない: samples disagree: {"付与点":240000,"請求額":999500} / {"付与点":15000,"請求額":999990} / {"付与点":149999,"請求額":999699}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=999999, 重量=10001
  答えられない: samples disagree: {"付与点":29,"請求額":3799} / {"付与点":29,"請求額":3799} / {"付与点":30,"請求額":2999}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=2999, 重量=1
  答えられない: samples disagree: {"付与点":30,"請求額":0} / {"付与点":300,"請求額":0} / {"付与点":300,"請求額":1650}     1 件
    例: 会員区分=上位, 値引=0, 商品合計=0, 重量=20000
  答えられない: samples disagree: {"付与点":30,"請求額":1800} / {"付与点":1,"請求額":800} / {"付与点":75,"請求額":3800}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=1, 重量=20000
  答えられない: samples disagree: {"付与点":300,"請求額":0} / {"付与点":299,"請求額":0} / {"付与点":300,"請求額":0}     1 件
    例: 会員区分=上位, 値引=0, 商品合計=0, 重量=19999
  答えられない: samples disagree: {"付与点":300,"請求額":2400} / {"付与点":0,"請求額":300} / {"付与点":150,"請求額":1500}     1 件
    例: 会員区分=上位, 値引=0, 商品合計=0, 重量=10000
  答えられない: samples disagree: {"付与点":50,"請求額":850} / {"付与点":0,"請求額":850} / {"付与点":5,"請求額":850}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=50, 重量=1
  答えられない: samples disagree: {"付与点":9990,"請求額":1000000} / {"付与点":10000,"請求額":999400} / {"付与点":19999,"請求額":1000000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=999999, 重量=2
  答えられない: samples disagree: {"付与点":9990,"請求額":1000000} / {"付与点":990,"請求額":1000000} / {"付与点":15000,"請求額":1000000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=999999, 重量=2000
  答えられない: samples disagree: {"付与点":9999,"請求額":1000000} / {"付与点":19999,"請求額":1000000} / {"付与点":19999,"請求額":1000000}     1 件
    例: 会員区分=一般, 値引=0, 商品合計=999999, 重量=1999
  答えられない: samples disagree: {"付与点":9999,"請求額":903000} / {"付与点":12000,"請求額":908000} / {"付与点":134999,"請求額":908540}     1 件
    例: 会員区分=一般, 値引=99999, 商品合計=999999, 重量=1
  答えられない: samples disagree: {"付与点":9999,"請求額":958000} / {"付与点":14999,"請求額":908000} / {"付与点":14999,"請求額":980000}     1 件
    例: 会員区分=一般, 値引=100000, 商品合計=999999, 重量=1
  表 重さ判定 行1 / 表 帯判定 行1 / 表 送料表 行1                      5 件  付与点 差 -1 一様  合計 -1  請求額 差 +800 一様  合計 +3,200
