照合 90 件 / 一致 3 (18.750%)
相手: rule@hf.co/mmnga/Llama-3.1-Swallow-8B-Instruct-v0.5-gguf:Q4_K_M/nothink/k3/all-agree
相手が答えられなかった 74 件は、一致率の分母から外しています（§10.3）

影響 13 件 (81.250%)  金額 付与点 +10,980  金額 請求額 +205,300
  答えられない: samples disagree: {"付与点":0,"請求額":-100000} / {"付与点":0,"請求額":-100000} / {"付与点":0,"請求額":0}     1 件
    例: 会員区分=一般, 値引=100000, 商品合計=0, 重量=2001
  答えられない: samples disagree: {"付与点":0,"請求額":-100000} / {"付与点":0,"請求額":-99000} / {"付与点":0,"請求額":-99000}     1 件
    例: 会員区分=一般, 値引=100000, 商品合計=0, 重量=2
  答えられない: samples disagree: {"付与点":0,"請求額":-100000} / {"付与点":200,"請求額":0} / {"付与点":99,"請求額":-9900}     1 件
    例: 会員区分=一般, 値引=100000, 商品合計=0, 重量=1999
  答えられない: samples disagree: {"付与点":0,"請求額":-49999} / {"付与点":0,"請求額":-89999} / {"付与点":0,"請求額":-99999}     1 件
    例: 会員区分=一般, 値引=99999, 商品合計=0, 重量=10000
  答えられない: samples disagree: {"付与点":0,"請求額":-9000} / {"付与点":0,"請求額":-99000} / {"付与点":0,"請求額":-100000}     1 件
    例: 会員区分=一般, 値引=100000, 商品合計=0, 重量=2000
  答えられない: samples disagree: {"付与点":0,"請求額":-99000} / {"付与点":0,"請求額":-100000} / {"付与点":0,"請求額":-99000}     1 件
    例: 会員区分=一般, 値引=100000, 商品合計=0, 重量=19999
  答えられない: samples disagree: {"付与点":0,"請求額":-99998} / {"付与点":1,"請求額":0} / {"付与点":1,"請求額":-99998}     1 件
    例: 会員区分=一般, 値引=99999, 商品合計=1, 重量=1
  答えられない: samples disagree: {"付与点":0,"請求額":-99999} / {"付与点":0,"請求額":-99999} / {"付与点":0,"請求額":-10000}     1 件
    例: 会員区分=上位, 値引=99999, 商品合計=0, 重量=1
  答えられない: samples disagree: {"付与点":0,"請求額":-99999} / {"付与点":0,"請求額":-99999} / {"付与点":0,"請求額":-89999}     2 件
    例: 会員区分=一般, 値引=99999, 商品合計=0, 重量=2001
  答えられない: samples disagree: {"付与点":0,"請求額":-99999} / {"付与点":0,"請求額":0} / {"付与点":0,"請求額":-99999}     1 件
    例: 会員区分=一般, 値引=99999, 商品合計=0, 重量=10001
  答えられない: samples disagree: {"付与点":0,"請求額":-99999} / {"付与点":10,"請求額":-99999} / {"付与点":0,"請求額":-99999}     1 件
    例: 会員区分=一般, 値引=100000, 商品合計=1, 重量=1
  答えられない: samples disagree: {"付与点":0,"請求額":0} / {"付与点":0,"請求額":-100000} / {"付与点":0,"請求額":0}     1 件
    例: 会員区分=上位, 値引=100000, 商品合計=0, 重量=1
  答えられない: samples disagree: {"付与点":0,"請求額":0} / {"付与点":0,"請求額":-9998} / {"付与点":0,"請求額":-9998}     1 件
    例: 会員区分=一般, 値引=1, 商品合計=0, 重量=9999
  答えられない: samples disagree: {"付与点":0,"請求額":0} / {"付与点":0,"請求額":-99999} / {"付与点":0,"請求額":-99999}     1 件
