law	elm	asof	law_revision_id	sha256_16
211AC0000000070	MainProvision-Article_160	2017-04-01	211AC0000000070_20170401_428AC0000000114	e51c0a2f7682aeaa
211AC0000000070	MainProvision-Article_161	2017-04-01	211AC0000000070_20170401_428AC0000000114	089101b97d693510
211AC0000000070	MainProvision-Article_3	2017-04-01	211AC0000000070_20170401_428AC0000000114	8e461157aca1e287
211AC0000000070	MainProvision-Article_40	2017-04-01	211AC0000000070_20170401_428AC0000000114	c88222709261f69a
211AC0000000070	MainProvision-Article_45	2017-04-01	211AC0000000070_20170401_428AC0000000114	7fea22924f2538c2
211AC0000000070	MainProvision-Article_160	2017-06-02	211AC0000000070_20170602_429AC0000000052	e51c0a2f7682aeaa
211AC0000000070	MainProvision-Article_161	2017-06-02	211AC0000000070_20170602_429AC0000000052	089101b97d693510
211AC0000000070	MainProvision-Article_3	2017-06-02	211AC0000000070_20170602_429AC0000000052	8e461157aca1e287
211AC0000000070	MainProvision-Article_40	2017-06-02	211AC0000000070_20170602_429AC0000000052	c88222709261f69a
211AC0000000070	MainProvision-Article_45	2017-06-02	211AC0000000070_20170602_429AC0000000052	7fea22924f2538c2
211AC0000000070	MainProvision-Article_160	2017-07-01	211AC0000000070_20170701_429AC0000000052	740521b2a6954385
211AC0000000070	MainProvision-Article_161	2017-07-01	211AC0000000070_20170701_429AC0000000052	089101b97d693510
211AC0000000070	MainProvision-Article_3	2017-07-01	211AC0000000070_20170701_429AC0000000052	8e461157aca1e287
211AC0000000070	MainProvision-Article_40	2017-07-01	211AC0000000070_20170701_429AC0000000052	c88222709261f69a
211AC0000000070	MainProvision-Article_45	2017-07-01	211AC0000000070_20170701_429AC0000000052	7fea22924f2538c2
211AC0000000070	MainProvision-Article_160	2018-04-01	211AC0000000070_20180401_429AC0000000052	740521b2a6954385
211AC0000000070	MainProvision-Article_161	2018-04-01	211AC0000000070_20180401_429AC0000000052	089101b97d693510
211AC0000000070	MainProvision-Article_3	2018-04-01	211AC0000000070_20180401_429AC0000000052	8e461157aca1e287
211AC0000000070	MainProvision-Article_40	2018-04-01	211AC0000000070_20180401_429AC0000000052	c88222709261f69a
211AC0000000070	MainProvision-Article_45	2018-04-01	211AC0000000070_20180401_429AC0000000052	7fea22924f2538c2
211AC0000000070	MainProvision-Article_160	2018-07-06	211AC0000000070_20180706_430AC0000000071	740521b2a6954385
